code,system
D415800,readv2
PK06.00,readv2
PK01.00,readv2
7840400.0,readv2
7840100.0,readv2
7840.11,readv2
14N7.00,readv2
7840300.0,readv2
D415A00,readv2
62557.0,readv2
66980.0,readv2
71462.0,readv2
10505.0,readv2
16827.0,readv2
39034.0,readv2
22319.0,readv2
66973.0,readv2
9368.0,readv2
D73.0,readv2
D415400,readv2
D415600,readv2
7841z00,readv2
7841.00,readv2
D415700,readv2
D73.5,readv2
PK01.11,readv2
7841y00,readv2
7840y00,readv2
7840.00,readv2
7840z00,readv2
27514.0,readv2
102207.0,readv2
31041.0,readv2
34310.0,readv2
48198.0,readv2
59784.0,readv2
64291.0,readv2
2759.0,readv2
1393.0,readv2
102966.0,readv2
